0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
3.22615,3.107883333,2.322666667,2.031733333,1.982083333,2.155866667,2.912783333,2.911466667,2.121283333,2.164,2.4988,4.840448276,3.808338983,5.438190476,7.600564103,5.304933333,4.10275,5.029683333,3.467383333,4.110683333,4.275333333,4.042566667,4.126283333,3.344633333,
2.83225,2.323533333,2.189066667,2.314116667,2.0692,1.779733333,1.936866667,1.87005,2.337883333,3.45905,4.21165,3.014183333,1.4568,1.837816667,2.98105,3.164316667,3.20755,4.151358974,3.4743125,2.759066667,2.179666667,1.934166667,2.952966667,2.477533333,
2.273233333,1.81745,1.58965,1.524583333,1.494883333,1.212783333,1.173633333,0.893916667,2.593383333,4.633316667,1.957383333,1.572933333,2.07845,2.357633333,2.83055,2.588083333,2.876233333,2.95665,3.256466667,3.9049,3.841033333,3.2474,3.420933333,2.77545,
1.813983333,1.71205,1.239,1.42465,1.07595,1.026233333,0.720133333,1.059116667,2.4099,3.162266667,2.31105,1.062733333,1.022583333,1.774133333,2.05535,2.931516667,2.909533333,3.517333333,3.884883333,4.216533333,3.713783333,3.444333333,3.956783333,2.753916667,
1.72695,1.609633333,1.524266667,1.210316667,1.221716667,1.176616667,1.3196,2.6593,2.645916667,3.404166667,3.2318,2.862516667,3.7705,4.61695,7.359516667,4.121283333,4.004644068,5.3585,4.813316667,4.714333333,4.221616667,3.44005,7.9888,4.882166667,
3.406733333,2.200083333,1.903666667,1.651666667,1.606983333,1.536883333,1.264533333,1.1134,1.4785,0.711333333,0.909116667,4.105583333,5.223883333,4.326733333,2.063783333,1.02685,4.22795,2.626783333,2.16475,2.177733333,1.875516667,1.4972,3.100083333,3.5327,
3.252016667,2.246383333,1.886916667,1.6612,1.440983333,1.70015,1.458016667,1.33375,2.558433333,2.587883333,4.994769231,3.994607843,2.849672414,1.948733333,2.019966667,2.04425,2.352933333,3.572416667,3.407083333,3.5357,3.407466667,3.193116667,2.89645,2.52825,
2.270566667,1.123683333,1.201483333,0.9091,0.723916667,0.999966667,0.742783333,1.543483333,2.677166667,2.7951,1.73275,1.312033333,1.820033333,1.6998,2.974716667,3.454288136,3.742933333,2.88215,2.355016667,3.47855,3.514133333,3.3798,3.462233333,2.967916667,
2.998433333,3.280066667,3.498916667,2.62345,2.562016667,1.906266667,1.79405,1.472816667,1.49975,2.2972,3.901981818,3.843816667,1.412633333,0.81125,2.920118644,3.253916667,4.566316667,4.599833333,4.31675,3.812766667,4.28885,4.69865,2.90905,2.983666667,
1.963383333,1.82075,1.8492,1.416516667,1.6294,1.257583333,1.8477,1.57685,1.697216667,3.290166667,1.415016667,1.73755,2.002633333,2.407583333,2.750416667,3.045266667,3.196933333,3.37475,4.037516667,3.942916667,3.832366667,3.78145,3.544816667,3.410566667,
